en	de
the	ang
and	kag
of	sang
to	sa
a	ang
i	ako
in	sa
he	sya
that	nga
it	ini
you	ikaw
her	iya
his	iya
she	sya
not	indi
for	para
with	upod
as	bilang
be	mangin
but	pero
him	iya
they	sila
said	nagsiling
so	ti
my	akon
have	may
all	tanan
at	sa
me	ko
your	imo
them	sila
shall	mangin
which	nga
by	paagi
this	ini
there	didto
then	karon
their	ila
one	isa
what	ano
when	san-o
no	waay
do	himo
would	gusto
very	gid
if	kung
out	gwa
an	ang
who	sin-o
we	kami
now	subong
little	gamay
or	o
lord	ginoo
before	antes
more	mas
man	tawo
such	ina
up	ibabaw
into	sa
know	kabalo
much	madamo
how	paano
must	dapat
well	mayo
than	kaysa
go	lakat
may	pwede
came	nag-abot
see	kita
other	iban
make	himo
should	dapat
day	adlaw
good	maayo
any	bisan
only	lang
every	kada
some	pila
two	duha
father	amay
about	tungod
its	iya
from	naghalin
went	naglakat
god	dios
over	ibabaw
never	indi
like	pareho
us	kami
again	liwat
let	tugti
come	abot
old	tigulang
time	panahon
say	siling
made	ginhimo
land	duta
people	tawo
down	dalum
where	diin
might	basi
after	pagkatapos
house	balay
own	iyahon
nothing	waay
mother	nanay
mother	iloy
most	pinaka
think	nagapinsar
our	aton
give	hatag
though	bisan
here	diri
take	kuha
soon	madali
hand	kamot
away	palayo
genesis	genesis
thought	ginpinsar
herself	sya
great	dalayawon
upon	sa
these	mga
first	una
sister	utod
saw	nakita
without	wala
long	laba
took	ginkuha
being	bilang
way	dalan
children	kabataan
looked	gintulok
room	kwarto
lady	lin-ay
put	butang
just	lang
moses	moses
place	lugar
also	man
young	hubin
wife	asawa
sons	kabataan
son	bata
eyes	mata
quite	medyo
because	bangud
many	damo
last	ulihi
pharaoh	parao
oh	ay
years	tinuig
back	balik
yes	huo
still	gihapon
heard	nabatian
egypt	ehipto
whole	bilog
enough	sakto
jacob	jacob
however	apang
ever	gid
always	pirmi
israel	israel
called	gintawag
brother	utod
tell	sugid
even	bisan
family	pamilya
dear	palangga
indeed	gid
name	ngalan
head	ulo
men	katawhan
found	nakit-an
brought	gindala
morning	aga
while	samtang
told	nagsugid
exodus	exodo
saying	nagasiling
done	ginhimo
each	kada
lydia	lydia
another	naman
yet	pa
therefore	amo
better	mas
home	balay
three	tatlo
friend	amigo
cried	naghibi
both	pareho
earth	kalibutan
daughter	bata
joseph	jose
woman	babayi
seen	nakit-an
same	pareho
heart	tagipusuon
through	paagi
oft	pirmi
felt	nabatyagan
between	tunga
something	butang
life	kabuhi
stood	nagtindog
days	inadlaw
king	hari
nor	indi
night	gab-i
home	puluy-an
asked	namangkot
why	ngaa
get	kuha
side	kilid
seemed	daw
myself	ako
gave	ginhatag
right	tuo
evening	kagab-ihon
tree	kahoy
hope	paglaum
does	nagahimo
thing	butang
sure	sigurado
face	guya
abraham	abraham
those	ato
world	kalibutan
speak	hambal
sir	sira
really	gid
half	katunga
spoke	naghambal
moment	tinion
large	dako
against	kontra
far	layo
letter	sulat
manner	paagi
knew	nakabalo
door	pwertahan
set	ibutang
once	makaisa
together	upid
began	nag-umpisa
till	asta
wish	handum
anything	bisa
under	idalum
sat	nagpungko
next	sunod
hear	nabatian
love	gugma
few	dyutay
believe	pati
replied	nagbalos
poor	imol
happy	malipayon
gone	nagtaliwan
daughter	bata
perhaps	basi
having	ara
girl	bata
going	nagahalin
water	tubig
got	nakabaton
bring	dala
answered	nagsabat
find	mangita
among	sa
mine	akon
often	pirmi
certainly	gid
given	nakahatag
left	wala
kind	mabuot
near	lapit
turned	nangin
pleasure	kalingawan
passed	nag-agi
town	banwa
towards	padulong
pass	agyan
hundred	gatus
child	bata
aaron	aaron
new	bag-o
thus	amo
whether	bisan
things	pagkabutang
gold	bulawan
since	halin
word	tinaga
present	halad
mind	isip
according	suno
least	pinakadyutay
boy	bata
almost	halos
less	buhin
work	obra
others	iban
subject	isyu
feelings	balatyagon
coming	magaabot
servants	alagad
money	kwarta
minister	ministro
end	katapusan
answer	sabat
able	sarang
words	tinaga
keep	tago
street	kalsada
sent	ginpadala
master	agalon
taken	nagkuha
leave	bayaan
aunt	tiya
rather	kuno
looking	daw
isaac	isaac
round	bilog
person	tawo
four	apat
course	alagyan
added	gindugang
returned	nagbalik
immediately	gilayon
certain	piho
ten	pulo
pretty	gwapa
married	may-asawa
yourself	ikaw
voice	tingog
eat	kaon
appeared	nagtuhaw
part	parte
known	nabal-an
everything	tanan
country	dakbayan
possible	posible
happiness	kalipayan
opinion	opinyon
want	gusto
seven	pito
air	hangin
afraid	hadlok
attention	pagtamud
window	bintana
please	palihug
lived	nabuhi
light	kasanag
friends	amigo
continued	nagpadayon
beautiful	matahum
rest	bilin
red	pula
marriage	pag-asawahay
help	bulig
became	nangin
walk	lakat
read	basa
doubt	duda
care	andam
high	taas
suppose	bulobantaon
short	lip-ot
received	nag-agom
meet	magtipon
happened	natabo
conversation	storyahan
character	pamatasan
best	pinakamaayo
sort	sari
lay	ibutang
ground	duta
business	negosyo
alone	isahanaon
year	tuig
white	puti
uncle	tiyo
hardly	halos-haloson
brothers	mag-inutod
bread	tinapay
within	sulod
visit	bisita
rose	nagsaka
live	puyo
live	estar
husband	bana
grew	nagtubo
real	tuod
around	palibot
story	storya
princess	prinsesa
power	gahum
full	puno
above	babaw
table	lamesa
pleased	nawili
met	nakita
feel	batyag
small	gamay
remember	dumdum
reason	rason
ought	dapat
idea	ideya
cold	tugaw
carriage	salakyan
affection	pagpalangga
silver	plata
mean	ginatumod
blessed	balaan
twenty	beinte
stay	pabilin
second	sekundo
opened	gin-abrihan
fortune	kapalaran
wood	kahoy
week	semana
point	punto
making	paghimo
send	padala
general	heneral
death	kamatayon
deal	makigbahin
dead	patay
call	tawag
sun	adlaw
river	suba
perfectly	himpit
hour	oras
heaven	langit
hair	buhok
glad	nasadyahan
city	syudad
wished	ginhandum
lost	nadula
green	lunhaw
flower	bulak
entered	nagsulod
die	patay
understand	intiende
understand	hangop
suddenly	gulpyada
scarcely	dyutay
garden	hardin
case	kaso
acquaintance	kilala
stranger	estranhero
length	kalabaon
feet	till
fear	hadlok
drink	inum
cloth	bayo
behaviour	katarong
true	tuod
settled	nahusayan
regard	tungod
minutes	minuto
marry	pakasalan
early	temprano
sea	dagat
ran	nagdalagan
beyond	tabok
altar	altar
different	lain
truth	kamatuoran
strange	makamalamalahan
sense	pamatyag
pride	bugal
open	abri
law	layi
impossible	imposible
hours	oras
expected	ginahulat
dinner	panyapon
died	napatay
court	korte
sometimes	kis-a
smile	yuhom
sitting	nagapungko
remained	nagpabilin
ready	handa
none	waay
manners	batasan
reached	naglab-ot
former	sadto
five	lima
fell	nahulog
feeling	balatyagon
cousin	pakaisa
usual	naandan
surprise	sorpresa
occasion	okasyon
mountain	bukid
horse	kabayo
black	itum
bed	kama
appearance	hitsura
agreeable	makapahalipay
thousand	libo
spirits	espiritu
news	balita
journey	panglakaton
handsome	gwapo
standing	nagatindog
obliged	obligar
eye	mata
exactly	amo
write	sulat
wonder	tingala
rice	bugas
wanted	nagustuhan
toward	pakadto
six	anum
situation	sitwasyon
engaged	sako
dream	damgo
blood	dugo
silence	kalinong
road	dalan
question	pamangkot
persons	tawo
need	kinahanglan
mary	maria
holy	santo
fresh	preska
female	babayi
blue	asul
sweet	tam-is
stand	tindog
necessary	kinahanglan
mouth	baba
led	gin-giya
interest	interes
instantly	dayon
hold	kapyot
expect	hulat
except	kundi
convinced	nagapati
step	tikang
honour	tahod
hard	tig-a
fellow	isigkatawo
easily	hapos
dwelt	nag-istar
afterwards	pagkatapos
surprised	nakibot
struck	gin-igo
shoes	sapatos
followed	nagsunod
joined	nag-entra
during	samtang
company	kumpanya
commanded	mandu
change	ilis
book	libro
ark	arko
allow	tugot
yours	imo
until	asta
thoughts	paminsaron
strong	mabaskug
stone	bato
satisfied	naayawan
evil	panulay
determined	determinado
boat	bangka
besides	luas
appear	pagpakita
invitation	imbitasyon
serious	seryoso
probably	siguro
play	hampang
opposite	kontra
observed	natalupangdan
neighbor	katupad
morrow	buwas
deep	madalum
dark	madulom
countenance	dagway
ate	nagkaon
astonishment	pagkatingala
angry	akig
sleep	tulog
rich	manggaranon
pray	pangadi
food	pagkaon
fixed	ginkay-o
figure	dagway
expression	hambalanon
entirely	lubos
branch	sanga
ago	sadto
written	nasulat
wind	hangin
warm	mainit
used	nagamit
unless	kundi
third	ikatlo
society	sosyedad
silent	malinong
shadow	landong
serve	alagad
self	kaugalingon
pay	bayad
pain	kasakit
month	bulan
kindness	pagkabuot
flew	naglupad
easy	hapos
east	sidlangan
descendants	kaliwatan
close	lapit
clear	klaro
amiable	hiligugmaon
advantage	kapuslanan
use	pulos
thank	pasalamat
show	pakita
several	lain-lain
times	beses
reply	balos
remain	nabilin
piece	bilog
neck	liog
livestock	hinuptan
join	sugpon
invitation	imbitasyon
imagine	paminsara
comfort	katawhay
age	edad
wild	ilahas
understood	naintiendihan
sit	pungko
queen	rayna
placed	ginbutang
outside	sagwa
order	sugo
officer	opisyal
office	opisina
laugh	kadlaw
late	naulihi
kill	patyon
joy	kakunyag
covenant	tipan
circumstance	kahigayunan
bad	malain
state	estado
resolved	nahusayan
repeated	ginliwat
receive	agom
past	nagligad
male	lalaki
listened	namati
liked	naluyagan
knowledge	nabal-an
dwell	tener
cut	utod
consider	kabigon
bless	bugayan
trouble	gamo
teacher	manunudlo
smiled	nagyuhom
sensible	mabinatyagon
rain	ulan
opportunity	oportunidad
nodded	nagduko
moved	naggiyo
library	librerya
intended	gintuyo
information	impormasyon
forgotten	ginkalimtan
equal	tupong
elder	katigulangan
effect	epekto
dance	saot
consequence	bunga
common	ordinaryo
charming	makabibihag
born	nabata
arrival	pag-abot
arose	nagbangon
wept	naghibi
tear	luha
splendid	maayo
sound	tunog
shook	nag-uyog
shone	nagbutlak
pleasant	maayo
offer	halad
mention	sambit
laughed	nagkadlaw
gathered	nagtipon
fall	hulog
directly	diretso
creature	linalang
corner	bangga
clock	orasan
beauty	katahum
beast	sapat
waiter	tag-alagad
wait	hulat
throughout	kabilugan
stopped	nag-untat
single	isa
run	dalagan
respect	respeto
raven	uwak
peace	paghidait
listen	pamati
kissed	naghaluk
importance	importansya
happen	tabo
gate	suludlan
forced	ginpwersa
eight	walo
desire	handum
compliment	dayaw
chair	pulungkuan
breakfast	pamahaw
cause	ginhalinan
assured	ginsiguro
anxious	nagabalaka
understanding	intiendihanay
top	ibabaw
tone	tono
thirty	traynta
supposed	abi
spirit	espiritu
promised	ginpromisa
picture	larawan
perfect	perpekto
learned	natun-an
glass	baso
front	atubang
foot	till
empty	kalong
degree	grado
church	simbahan
body	lawas
bird	pispis
allowed	gintugtan
affair	katayoan
admiration	paghangad
absence	pagkawala
worth	bili
twice	kaduha
smoke	aso
satisfied	iyawan
reading	balasahon
neighbourhood	katupad
mentioned	nasambit
leaves	gahalin
grave	lulubngan
forget	kalimtan
distance	distansya
delighted	nalipay
credit	utang
considered	ginkabig
companion	upod
built	nagpasad
bright	masanag
across	tabuk
youngest	pinakabata
wholly	bug-os
view	talan-awon
vain	hambog
success	kadalag-an
spent	naggasto
leg	batiis
headed	padulong
hat	kalo
form	porma
follow	sunod
design	disenyo
danger	katalagman
councillor	konsehal
carry	bitbit
beg	pakitluoy
arm	butkon
although	bisan
waiting	nagahulat
tea	tsaa
proud	bugalon
plain	matapan
paper	papel
name	ngalan
music	musika
mistaken	nagsala
meeting	tipon
latter	ulihi
hung	nakasab-it
hot	mainit
hopes	nagalaum
gratitude	pasalamatan
fast	madasig
famine	kagutom
excuse	pasaylo
event	hitabo
especially	ilabi
disposition	disposisyon
covered	natakpan
concern	pasunaid
beside	tupad
attempt	tinguha
attachment	pagkaapid
absolutely	kaayo
witch	aswang
tried	gintinguhaan
slight	medyo
sheep	karnero
service	serbisyo
relations	paryente
related	nahanungod
quickly	dali
pocket	bulsa
persuaded	ginhagad
observe	talupangod
notice	bantya
natural	natural
match	igo
looks	gatan-aw
lands	gahugpa
instant	gilayon
grown	nagdaku
greatest	pinakamaayo
garment	panapton
free	libre
formed	ginporma
express	pabatyag
exclaimed	nagsinggit
excellent	labi
evident	maathag
dancing	nagasaot
curiosity	pagkamausisaon
closed	ginsira
choose	pili
chance	tsansa
camp	kampo
bow	duko
begin	sugod
bank	bangko
attended	nagtambong
yellow	kanaryo
wrong	sala
worse	lala
twelve	dose
temper	gawi
taste	tilaw
stretched	unat
started	nag-umpisa
soul	kalag
soldier	soldado
sign	tanda
saddle	silyahan
purpose	katuyuan
pure	puro
pulled	ginbutong
proper	bagay
praise	dayawon
pardon	pasayluhon
paid	nagbayad
ox	karbaw
number	numero
meaning	kahulugan
marrying	nagapakasal
mamma	nanay
leaving	naghalin
judge	hukom
interested	interesado
humour	pagpakadlaw
hoped	naglaum
floor	salug
dining	nagakaon
comprehend	nakahangop
coat	amerikana
caught	nadakpan
beginning	umpisa
anxiety	kabalaka
advice	laygay
address	direkson
acquainted	kilala
threw	ginhaboy
saturday	sabado
removed	ginpahalin
remembered	nadumduman
quiet	himuyong
period	panahonan
palace	palasyo
ourselves	kita
nearly	lapit
maid	dalagita
lake	linaw
intelligence	kaalam
inquiry	pamangkot
inclination	duyog
frequently	pirme
forest	lasang
everyone	tagsa
dreadful	makahaladlok
dislike	disgusto
depend	depende
cry	hibi
conceived	nagbusong
cast	ipilak
carried	nagdala
broke	nagguba
break	nag-utod
below	ubos
animal	sapat
anger	kaakig
affected	apektado
acknowledged	ginkilala
woven	ginhabol
wide	lapad
straw	dagami
square	kwadrado
speech	pamulongpulong
sergeant	sarhento
rod	bilugon
ring	singsing
remarked	ginmuno
regiment	rehimen
raised	gin-alsa
prince	prinsipe
prevented	ginpunggan
prevailed	nagmadaugon
pair	pares
nephew	hinablos
lovely	maambong
loss	pagkapierde
likewise	naman
lad	soltero
ice	yelo
health	himsog
hall	kadak-an
greatly	ungganon
grain	uyas
getting	gakuha
forty	kwarenta
feared	ginkulbaan
farther	malayo
drawing	laragway
declared	nagdeklara
dearest	pinakapalangga
conduct	hiwat
collar	kwelyo
coffee	kape
capable	makasarang
camel	kamelyo
buy	bakal
burnt	sunog
broken	guba
alive	buhi
accept	baton
yesterday	kagapon
woods	kakahuyan
try	tilawi
star	bituon
spread	lapta
severe	grabe
sang	nagkanta
report	report
promise	promisa
pleasing	makalingaw
pause	pahuway
noble	dungganon
increased	nagsaka
household	panimalay
grass	hilamon
future	bwasdamlag
fire	kalayo
favourite	paborito
favour	pabor
extremely	pirti
escape	palagyo
duty	katungdanan
doctor	doktor
difficult	budlay
connection	koneksyon
concerned	naga-ulikid
clerk	takigrapo
chose	nagpili
brethren	kauturan
breath	ginhawa
avoid	likaw
ashamed	nahuya
agreed	nagsugot
accepted	nagbaton
youth	kabataan
yourselves	kamo
swore	nagsumpa
superior	labi
sudden	gulpi
strength	kusong
shown	nagpakita
share	ambit
seventh	ikapito
rose	rosas
reach	abuton
quietly	mahipuson
particulars	detalye
opening	panuguran
occurred	natabo
nay	indi
motive	motibo
loved	ginpalangga
killed	nagpatay
history	kasaysayn
heavy	bug-at
game	hampang
forever	katubtuban
extraordinary	pinasahi
endeavour	nagtinguha
eldest	pinakamagulang
ease	kahapusan
dressed	nakasuksok
dress	bayo
dog	ido
distress	kabudlay
decided	nagdesisyon
danced	nagsaot
clever	maalam
choice	pilian
burn	sunugon
bought	nagbakal
book	libro
aware	nakabatya
astonished	natingala
arrived	nag-abot
aloud	kagahud
actually	mismo
wine	bino
weather	tiempo
watchman	gwardya
wants	gusto
wall	pader
usually	naandan
turning	mangin
thin	maniwang
slept	nagtulog
seriously	seryoo
scene	eksena
robber	kawatan
resolution	resolusyon
regret	hinulsol
receiving	nagabaton
proved	napamatud-an
principal	prinsipal
prepared	nakapreparar
parted	nagbulagay
maria	maria
lively	mapagsik
listening	nagapamati
lie	butig
lately	ulihi
knee	tuhod
kingdom	ginharian
ignorant	ignorante
idea	ideya
hurry	dali-a
highest	pinakataas
heed	sundon
heavens	kalangitan
golden	bulawanon
goes	nagakadto
fish	isda
finally	katapusan
estate	kadutaan
enter	sulod
engagement	paghisugot
edge	higad
dust	yab-ok
destroy	wasakon
departed	nagtaliwan
delicate	halalongan
dared	ginhangkat
blessing	bugay
bit	ginkagat
balcony	balkonahe
asking	napangayo
arm	bitbit
addressed	gintamyaw
writing	pagsulat
wonderful	katingalahan
unhappy	masubo
thrown	ginpilak
thread	pisi
telling	ginasugiran
shine	butlak
suit	bagay
suffer	antus
strike	lampos
stayed	nagpabilin
somewhat	daw
sing	kanta
sighed	hibubun-ot
showed	ginpakita
seed	binhi
scarlet	mapula
sad	nasubuan
returning	nagabalik
resentment	pagsunggod
property	pagkabutang
politeness	pagkamatinahaon
pillar	haligi
persuade	hagad
parents	ginikanan
painful	kasakit
oil	lana
nose	ilong
minute	minuto
justice	hustisya
intention	tuyo
inside	sulod
guess	pakot
gained	nakaganansya
fortunate	swerte
fond	nanamian
fly	lupad
felicity	kalipayan
fat	tambok
false	sala
expectation	ekspektaksyon
eaten	ginkaon
draw	butong
disappointment	pagkadismaya
difference	kinalain
